TEMPLATE OIL/GAS/MINING/LAND -   RESOURCECONTRACTS.ORG ,,Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,An Act to Ratify the Forest Management Contract Area 'A' in Lofa and Gbarpolu Counties Between the Republic of Liberia Represented by the Forestry Development Authority and Alpha Logging & Wood Processing Incorporated,,,,,FOR UPLOADERS - AUTOMATICALLY FILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Use of Gravel, Sand, Clay and Stone","Subject to written approval of the Government, the terms of the social agreement, and such conditions as the Government may impose, Alpha Logging & Processing may use, free of charge, gravel, sand, clay, and stone found within the public land on the contract area for purposes necessary or useful to Alpha Logging & Processing's operations and activities under the contract. Such material may not be sold. Upon completion of use or termination of this contract, any excavation shall be restored by Alpha Logging & Processing, as far as may be reasonably practical, to its original condition and, if required by the Government, fenced or otherwise safe-guarded.",Art. B4.4,45 (bottom),,"//Use of Gravel, Sand, Clay and Stone","Subject to written approval of the Government, the terms of the social agreement, and such conditions as the Government may impose, Alpha Logging & Processing may use, free of charge, gravel, sand, clay, and stone found within the public land on the contract area for purposes necessary or useful to Alpha Logging & Processing's operations and activities under the contract. Such material may not be sold. Upon completion of use or termination of this contract, any excavation shall be restored by Alpha Logging & Processing, as far as may be reasonably practical, to its original condition and, if required by the Government, fenced or otherwise safe-guarded.--Art. B4.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Dispositions relatives aux opérations et à l’infrastructure,5. Operational provisions,,,,,5. Dispositions relatives aux opérations et à l’infrastructure//5. Operational provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'étude de faisabilité et le plan d'affaires,Feasibility studies and requirement of business plan,"As part of its forest management plan, Alpha Logging & Processing shall include an up-to-date business plan demonstrating, to Forestry Development Authority's satisfaction, that Alpha Logging & Processing has the technical and financial capacity to manage the contract area sustainably. The business plan must conform with Forestry Development Authority's guidelines for forest management planning.",Art. B3.13,33 (bottom),,L'étude de faisabilité et le plan d'affaires//Feasibility studies and requirement of business plan,"As part of its forest management plan, Alpha Logging & Processing shall include an up-to-date business plan demonstrating, to Forestry Development Authority's satisfaction, that Alpha Logging & Processing has the technical and financial capacity to manage the contract area sustainably. The business plan must conform with Forestry Development Authority's guidelines for forest management planning.--Art. B3.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Obligations de travaux, d'investissements",Work and investment commitments,,,,,"Obligations de travaux, d'investissements//Work and investment commitments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rétrocession,Transfer of risk,,,,,Rétrocession//Transfer of risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction et entretien d'infrastructure,Construction and maintenance of infrastructure,"Alpha Logging & Processing shall ensure that all infrastructure and works installed in relation to this contract comply with the Liberia code of forest harvesting practice and other applicable laws. Alpha Logging & Processing shall design, construct, and maintain infrastructure and works in a manner that avoids unreasonable risk to safety, health, welfare, and the environment. Upon written request of Alpha Logging & Processing to approve a completed installation, the Forestry Development Authority shall perform an inspection within 15 days, so as not to delay unnecessarily the progress of Alpha Logging & Processing's operations. Alpha Logging & Processing shall request approval for construction of or major maintenance on roads, building construction, erosion control projects, and any other significant land-disturbing activity undertaken by Alpha Logging & Processing in relation to this contract. In the event that Forestry Development Authority is unable to inspect the installation within 15 days of Alpha Logging & Processing's request, the Authority shall notify Alpha Logging & Processing in writing of the necessity for postponement and provide a time when inspection may proceed. In conducting inspections, Forestry Development Authority shall apply the procedures, if any, in the Liberian code of forest harvesting practices and the standards in subsection (a) of this Section. Within 7 days of inspection, Forestry Development Authority shall furnish Alpha with written notices of acceptances of work remaining to be done. e) Acceptance of Alpha Logging & Processing's work relieves Alpha Logging & Processing of further contractual obligations related to the inspected WORK, with the exception of roads and erosion control devices. i) Alpha Logging & Processing is responsible for maintaining erosion control devices for 5 years from the date of acceptance or until the termination date set at the beginning of this contract. ii) Alpha Logging & Processing is responsible for repairing all road damage, from whatever cause, for 3 years from the date of acceptance or until the termination date set at the beginning of the contract. Until Alpha Logging & Processing gains Forestry Development Authority's acceptance for work, Alpha Logging & Processing remains liable for repair or completion of the work, regardless of time elapsed. ",Art. B6.18,63 (middle),,Construction et entretien d'infrastructure//Construction and maintenance of infrastructure,"Alpha Logging & Processing shall ensure that all infrastructure and works installed in relation to this contract comply with the Liberia code of forest harvesting practice and other applicable laws. Alpha Logging & Processing shall design, construct, and maintain infrastructure and works in a manner that avoids unreasonable risk to safety, health, welfare, and the environment. Upon written request of Alpha Logging & Processing to approve a completed installation, the Forestry Development Authority shall perform an inspection within 15 days, so as not to delay unnecessarily the progress of Alpha Logging & Processing's operations. Alpha Logging & Processing shall request approval for construction of or major maintenance on roads, building construction, erosion control projects, and any other significant land-disturbing activity undertaken by Alpha Logging & Processing in relation to this contract. In the event that Forestry Development Authority is unable to inspect the installation within 15 days of Alpha Logging & Processing's request, the Authority shall notify Alpha Logging & Processing in writing of the necessity for postponement and provide a time when inspection may proceed. In conducting inspections, Forestry Development Authority shall apply the procedures, if any, in the Liberian code of forest harvesting practices and the standards in subsection (a) of this Section. Within 7 days of inspection, Forestry Development Authority shall furnish Alpha with written notices of acceptances of work remaining to be done. e) Acceptance of Alpha Logging & Processing's work relieves Alpha Logging & Processing of further contractual obligations related to the inspected WORK, with the exception of roads and erosion control devices. i) Alpha Logging & Processing is responsible for maintaining erosion control devices for 5 years from the date of acceptance or until the termination date set at the beginning of this contract. ii) Alpha Logging & Processing is responsible for repairing all road damage, from whatever cause, for 3 years from the date of acceptance or until the termination date set at the beginning of the contract. Until Alpha Logging & Processing gains Forestry Development Authority's acceptance for work, Alpha Logging & Processing remains liable for repair or completion of the work, regardless of time elapsed. --Art. B6.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercialisation et accès gouvernemental à la production ,Marketing of output and state access to output,,,,,Commercialisation et accès gouvernemental à la production //Marketing of output and state access to output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utilisation d’infrastructure par les tiers,Third party use of infrastructure,,,,,Utilisation d’infrastructure par les tiers//Third party use of infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financement d’infrastructure,Financing of infrastructure,,,,,Financement d’infrastructure//Financing of infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propriété d’infrastructure,Ownership of infrastructure,All infrastructure shall revert to the Government upon termination of the contract. Alpha Logging & Processing shall leave such facilities in a maintained and safe running order.,Art. B4.24,45 (top),,Propriété d’infrastructure//Ownership of infrastructure,All infrastructure shall revert to the Government upon termination of the contract. Alpha Logging & Processing shall leave such facilities in a maintained and safe running order.--Art. B4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modes d'audit à l'égard des dispositions opérationnelles,Audit mechanisms - operational obligations,"The Forestry Development Authority shall convene an ad hoc contract audit committee to promptly complete an annual contract audit including each specific and general provisions and written report in the first quarter of each fiscal year. After consultation with the appropriate agencies, the Forestry Development Authority shall name up to five individuals to the contract audit committee, including at least one representative from each of the following four organizations: Forestry Development Authority, the Ministry of Finance, the Ministry of Justice, and a civil society group not affiliated with or controlled by Alpha Logging & Processing. ",Art. B8.81,91 (top),,Modes d'audit à l'égard des dispositions opérationnelles//Audit mechanisms - operational obligations,"The Forestry Development Authority shall convene an ad hoc contract audit committee to promptly complete an annual contract audit including each specific and general provisions and written report in the first quarter of each fiscal year. After consultation with the appropriate agencies, the Forestry Development Authority shall name up to five individuals to the contract audit committee, including at least one representative from each of the following four organizations: Forestry Development Authority, the Ministry of Finance, the Ministry of Justice, and a civil society group not affiliated with or controlled by Alpha Logging & Processing. --Art. B8.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activité de beneficiation/ valeur ajoutée,Value addition/downstream activities,Sawmill: US $2.5 million (to be installed in the first 3 years). Plywood Mill/Vineer: US $22 million (installed in the first 3 years).,A2,21 (top),,Activité de beneficiation/ valeur ajoutée//Value addition/downstream activities,Sawmill: US $2.5 million (to be installed in the first 3 years). Plywood Mill/Vineer: US $22 million (installed in the first 3 years).--A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autorisation pour utiliser les terres publique ou privées à l'extérieur de la zone de concession,Contracting party's permitted use of public or private land outside concession area,"Use of Public Lands Outside Contract Area: Alpha Logging & Processing shall not use public land outside the contract area, unless it has express, written permission to do so from the Forestry Development Authority. Before requesting such permission, Alpha Logging & Processing shall consult with all potentially affected communities that are party to social agreements with Alpha Logging & Processing. Alpha Logging & Processing shall make a written record of the time, place, and general content of these consultations. Alpha Logging & Processing's requests to the Forestry Development Authority to use such public lands must be in writing. For convenience, Alpha Logging & Processing may make such requests in its annual operational plan, so long as they are expressly and clearly identified as requests to use public land outside the contract area. The Forestry Development Authority shall then approve or deny such requests as part of its review of the annual operational plan. The Forestry Development Authority may deny the request while approving the remainder of the plan. The Forestry Development Authority shall not unreasonably deny permission to use such land. The Forestry Development Authority and Alpha Logging & Processing shall negotiate the terms and conditions under which an easement or other use rights may be exercised. If Alpha Logging & Processing occupies lands, the terms shall include payment of area fees and an amount for land rental at the land rental bid rate. The right to use such land does not extend to the right to harvest timber, unless the timber is taken to clear land for a right-of-way or yarding area. Use of Private Lands: Alpha Logging & Processing may use private land with the express, written permission of the land owner. If Alpha Logging & Processing is unable to obtain the permission of the land owner for such use, then use is limited to rights of way, and any compensation is governed by Chapter 11 of the national forestry reform law of 2006 and Forestry Development Authority Regulation 110-07. With or without permission of the land owner: i) Alpha Logging & Processing shall not seek a use, lease, right-of-way, or easement that substantially interferes with the operations of another previously issued forest management contract or timber sale contract; and ii) Alpha Logging & Processing shall not interfere with any good faith exercise of third-party rights to timber or forest products, including customary rights, without permission of the third party. ","Arts. B4.12, B4.12",39 (middle),,Autorisation pour utiliser les terres publique ou privées à l'extérieur de la zone de concession//Contracting party's permitted use of public or private land outside concession area,"Use of Public Lands Outside Contract Area: Alpha Logging & Processing shall not use public land outside the contract area, unless it has express, written permission to do so from the Forestry Development Authority. Before requesting such permission, Alpha Logging & Processing shall consult with all potentially affected communities that are party to social agreements with Alpha Logging & Processing. Alpha Logging & Processing shall make a written record of the time, place, and general content of these consultations. Alpha Logging & Processing's requests to the Forestry Development Authority to use such public lands must be in writing. For convenience, Alpha Logging & Processing may make such requests in its annual operational plan, so long as they are expressly and clearly identified as requests to use public land outside the contract area. The Forestry Development Authority shall then approve or deny such requests as part of its review of the annual operational plan. The Forestry Development Authority may deny the request while approving the remainder of the plan. The Forestry Development Authority shall not unreasonably deny permission to use such land. The Forestry Development Authority and Alpha Logging & Processing shall negotiate the terms and conditions under which an easement or other use rights may be exercised. If Alpha Logging & Processing occupies lands, the terms shall include payment of area fees and an amount for land rental at the land rental bid rate. The right to use such land does not extend to the right to harvest timber, unless the timber is taken to clear land for a right-of-way or yarding area. Use of Private Lands: Alpha Logging & Processing may use private land with the express, written permission of the land owner. If Alpha Logging & Processing is unable to obtain the permission of the land owner for such use, then use is limited to rights of way, and any compensation is governed by Chapter 11 of the national forestry reform law of 2006 and Forestry Development Authority Regulation 110-07. With or without permission of the land owner: i) Alpha Logging & Processing shall not seek a use, lease, right-of-way, or easement that substantially interferes with the operations of another previously issued forest management contract or timber sale contract; and ii) Alpha Logging & Processing shall not interfere with any good faith exercise of third-party rights to timber or forest products, including customary rights, without permission of the third party. --Arts. B4.12, B4.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autre - [le nom de catégorie],Other - [Name of Category],,,,,Autre - [le nom de catégorie]//Other - [Name of Category],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Dispositions diverses,6. Miscellaneous provisions,,,,,6. Dispositions diverses//6. Miscellaneous provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loi applicable en cas des différends,Governing law in case of dispute,Liberian law.,Art. B3.41,37 (top),,Loi applicable en cas des différends//Governing law in case of dispute,Liberian law.--Art. B3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbitrage et règlement des différends,Arbitration and dispute resolution,,,,,Arbitrage et règlement des différends//Arbitration and dispute resolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clause de stabilisation,Stabilization clause,,,,,Clause de stabilisation//Stabilization clause,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cession / transfert,Assignment / transfer,"Alpha Logging & Processing shall not assign or transfer the contract or any interests, rights, privileges, or obligations under the contract, without prior written approval from the Government by and through the Ministry of Justice, Ministry of Finance, and the Forestry Development Authority. The Forest Development Authority shall not consent to any assignment or transfer of this contract, except in compliance with the requirements of authority regulation 104-07, section 71.",Art. B2.3,31 (middle),,Cession / transfert//Assignment / transfer,"Alpha Logging & Processing shall not assign or transfer the contract or any interests, rights, privileges, or obligations under the contract, without prior written approval from the Government by and through the Ministry of Justice, Ministry of Finance, and the Forestry Development Authority. The Forest Development Authority shall not consent to any assignment or transfer of this contract, except in compliance with the requirements of authority regulation 104-07, section 71.--Art. B2.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annulation / Résiliation ,Cancellation / termination,"A contracting officer shall give Alpha Logging & Processing notice, in writing, that all operations are suspended, specifying the particular breach and requiring Alpha Logging & Processing, within 90 days to remedy breach, if possible and pay any compensation due to the Government. If Alpha Logging & Processing fails to suspend operations, the contracting officer shall obtain a court order to require suspension of operations and immediately terminate this contract. If Alpha Logging & Processing suspends operations, but fails to remedy the breach within 90 days or such extended time as is allowed, the contracting officer shall terminate the contract. However, the contracting officer shall not terminate the contract if: i) Alpha Logging & Processing disputes whether there has been a breach of the contract; and ii) Alpha Logging & Processing has, within 90 days or such extended time as is allowed, referred the dispute to the contracting officer for decision and has thereafter diligently prosecuted its claim. Upon termination by the contracting officer, Alpha Logging & Processing's rights under the contract shall cease and Alpha Logging & Processing shall be liable for damages or any other obligations to the Government under the contract. In addition to any outstanding damages and contract obligations, the Forestry Development Authority shall charge Alpha Logging & Processing liquidated damages due to termination equivalent to total land rental bid fees for 1 year, which is the estimated time necessary to re-offer and sell the forest management contract. ",Art. B8.73,89 (middle),,Annulation / Résiliation //Cancellation / termination,"A contracting officer shall give Alpha Logging & Processing notice, in writing, that all operations are suspended, specifying the particular breach and requiring Alpha Logging & Processing, within 90 days to remedy breach, if possible and pay any compensation due to the Government. If Alpha Logging & Processing fails to suspend operations, the contracting officer shall obtain a court order to require suspension of operations and immediately terminate this contract. If Alpha Logging & Processing suspends operations, but fails to remedy the breach within 90 days or such extended time as is allowed, the contracting officer shall terminate the contract. However, the contracting officer shall not terminate the contract if: i) Alpha Logging & Processing disputes whether there has been a breach of the contract; and ii) Alpha Logging & Processing has, within 90 days or such extended time as is allowed, referred the dispute to the contracting officer for decision and has thereafter diligently prosecuted its claim. Upon termination by the contracting officer, Alpha Logging & Processing's rights under the contract shall cease and Alpha Logging & Processing shall be liable for damages or any other obligations to the Government under the contract. In addition to any outstanding damages and contract obligations, the Forestry Development Authority shall charge Alpha Logging & Processing liquidated damages due to termination equivalent to total land rental bid fees for 1 year, which is the estimated time necessary to re-offer and sell the forest management contract. --Art. B8.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indemnisation,Indemnification,"Alpha Logging & Processing shall at all times indemnify and hold the Government and its officers and agents harmless from all claims and liabilities for the death of or injury to persons, and for damage to property, from any cause whatsoever arising out of Alpha Logging & Processing's operations or activities hereunder or as a result of Alpha Logging & Processing's failure to comply with any law or regulation. Alpha Logging & Processing acknowledges that in the event of any damage, injury, or loss caused by the acts or omissions of Alpha Logging & Processing's agents, Alpha Logging & Processing is liable for the damage, injury, or loss to the extent provided by the laws of Liberia.",Art. B3.46,37 (bottom),,Indemnisation//Indemnification,"Alpha Logging & Processing shall at all times indemnify and hold the Government and its officers and agents harmless from all claims and liabilities for the death of or injury to persons, and for damage to property, from any cause whatsoever arising out of Alpha Logging & Processing's operations or activities hereunder or as a result of Alpha Logging & Processing's failure to comply with any law or regulation. Alpha Logging & Processing acknowledges that in the event of any damage, injury, or loss caused by the acts or omissions of Alpha Logging & Processing's agents, Alpha Logging & Processing is liable for the damage, injury, or loss to the extent provided by the laws of Liberia.--Art. B3.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confidentialité,Confidentiality,,,,,Confidentialité//Confidentiality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Langue,Language,English,,,,Langue//Language,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
